smiles,A2A,A1,hERG,RAScore
CC(=O)Nc1nc(F)ncc1-c1ccc(S(N)(=O)=O)c(-c2cnccc2CS)c1C#N,0.6655512,0.9689214,0.34669298,0.8152645
N#Cc1nc(-n2cnc3cncnc32)cc(-c2ccncc2)c1-c1c(-c2cncnc2)ccnc1N,0.93311393,0.8510148,0.292059,0.9999994
CC(=O)NN,0.45818865,0.46958256,0.45974594,1.0
N#Cc1csc(-c2nc(C#N)nc(N)c2N)n1,0.71181685,0.54819214,0.4504714,0.99951315
CNC(=O)c1cc(C=O)c(-c2nc(F)cc(C)c2C#N)c(C(=O)[O-])n1,0.65925163,0.9684139,0.40851736,0.98370034
N#Cc1cnc(N)nc1-c1nc(F)nc(N)c1N,0.6610221,0.5431765,0.4538402,0.9999181
O=C(O)c1cc(-n2cnc3cncnc32)nc(-c2ccncn2)c1-c1cccc(Br)n1,0.6003748,0.97465235,0.34561193,0.99999
NC(=O)c1nc(-c2ncccc2Cl)nc(N)c1-c1ccncn1,0.872016,0.9265415,0.40814555,0.9999924
CC(=O)NCc1c(I)c(F)nc(-c2ccccc2)c1-c1nccc(-c2cc[nH]c2)c1C#N,0.70320004,0.974811,0.29856038,0.99930334
C[SH+]c1nc(N)c(-c2nccs2)c(-c2ncncc2N)c1-c1ccncc1F,0.81913364,0.958535,0.33397168,0.9285873
Nc1nc(-c2csc(S(N)(=O)=O)n2)cs1,0.5722384,0.5448986,0.45679152,0.99997175
C[SH+]N,0.4767746,0.4655814,0.46052706,1.0
NC(=O)c1nc(-n2cnc3cncnc32)cc(-c2ncc([SH](=O)=O)cn2)c1-c1ccncc1N,0.8954824,0.8449891,0.3930853,0.9999943
N#Cc1c(C(=O)O)nc(N)c(-c2cc(-c3cccnc3)ccn2)c1-c1ncccn1,0.7280244,0.9572982,0.36244637,0.987982
Cc1cncnc1-c1c(F)cc(C#N)nc1-c1cncnc1N,0.9033973,0.91329336,0.39092875,0.9994392
Nc1c(-c2c(-c3cncnc3)ccnc2-n2cnc3cncnc32)ccnc1-n1cccn1,0.9227526,0.8895745,0.36434513,0.9996742
N#Cc1nc(N)nc(-c2c(-n3cnc4cncnc43)ccc(-c3ccccn3)c2-c2nccs2)c1-c1cccnc1,0.93876487,0.8847295,0.27708948,0.99999833
CC(=O)NCl,0.45340908,0.46761394,0.46067977,1.0
CC(=O)Nc1nc(N)c(-c2cccc(F)c2)c(-c2cncnc2I)n1,0.9118246,0.94084316,0.33743834,0.99943346
Nc1ccncc1-c1c(N)c(O)nc(N)c1CNC=O,0.6632514,0.8298274,0.44482696,0.9496656
N=Cc1nc(C[NH3+])cs1,0.4730824,0.4706988,0.4596216,0.99999917
NNC(=O)c1nc(-c2nc(F)nc(N)c2N)cs1,0.679352,0.5547678,0.45283252,0.9993393
N#Cc1nc(N)nc(F)c1-c1csc(I)n1,0.8793927,0.8446335,0.4163162,0.99999976
N#Cc1cc(-n2cc(N)cn2)c(-c2ncccc2N)c(N)n1,0.76939076,0.8793151,0.41979897,1.0
Nc1ccnc(P(=O)(O)O)c1-c1cccc(F)n1,0.6081752,0.85181123,0.451571,0.99999976
NI,0.45340908,0.4655494,0.4607203,1.0
Cc1nc(C(=O)NS(N)(=O)=O)nc(-n2cccn2)c1-c1cnn(-n2cnc3c(C=O)ncnc32)c1,0.6002311,0.92781097,0.41460854,0.99921227
NS(=O)(=O)P(=O)([O-])O,0.45362043,0.4643953,0.46062976,0.9998047
Nc1cc(P(=O)(O)O)nc(C(=O)[O-])c1-c1ccc(-c2ncncc2C(=O)NO)cc1,0.8540398,0.8694538,0.4083869,0.9965275
N#Cc1c(-c2c(-c3ccncn3)cccc2-c2nccs2)nc([PH](=O)O)c(N)c1F,0.7709147,0.9637663,0.31685406,0.99999785
CC(C)P(=O)([O-])O,0.45363182,0.46429998,0.46080768,0.99993587
N#Cc1c(N)c(N)cc(-c2nc(F)cs2)c1-c1nc(C=O)cs1,0.9013648,0.94594884,0.3337416,0.99906117
CC(=O)NC(=O)[O-],0.45500624,0.48874876,0.456927,0.9999999
Nc1cc(-c2c(C=O)cccc2-c2ccc[nH+]c2)c(F)c(-c2ccccc2)n1,0.9495362,0.9189439,0.2689762,0.99991333
N#Cc1cc(-c2ccncn2)cc(-c2c(N)nc(N)nc2C#N)n1,0.8403372,0.8909299,0.4105847,0.9999999
C[SH+]O,0.47585356,0.46420115,0.46081084,1.0
Nc1csc(-c2c(-c3cncnc3)ccc(-c3cnccc3CNC=O)c2N)n1,0.92096,0.90849245,0.30518532,0.9992712
Nc1cnc(NC=O)nc1-c1c(N)nn(S(N)(=O)=O)c1N,0.6878504,0.7846995,0.44655037,0.99426043
CC(=O)Nc1cc(-c2c(-c3ccccc3)cc(C=O)nc2C(N)=O)c(P(=O)(O)O)c(C(=O)[O-])n1,0.80628407,0.86189413,0.41260326,0.9929952
CC(=O)NC(F)(F)F,0.45369545,0.4841348,0.45999193,0.99997234
Nc1ncc(-c2ncc(S(N)(=O)=O)cn2)c(N)n1,0.57268214,0.5351694,0.4550622,0.9999999
Nc1ccnc(C[NH3+])c1-n1cc(-c2ccccc2C[NH3+])c(N)n1,0.8853057,0.67075586,0.41350424,0.3063175
CN(C)C(=O)NNC(=O)c1nc(N)c(C#N)c(C#N)n1,0.83638024,0.5856358,0.438959,0.9999862
N#Cc1nc(Cl)nc(N)c1-c1nc(F)c(C(=O)[O-])c(C[NH3+])n1,0.6778128,0.8113398,0.44390708,0.36543113
Cc1ncc(N)c(-n2nc(N)c(C#N)c2F)n1,0.68580186,0.65571684,0.44980675,0.99999726
Nc1ccccc1-c1c(-c2cncnc2)cccc1-c1ncc(C[NH3+])cn1,0.91587836,0.91739106,0.33891475,0.9999317
NC(=O)c1nc(-c2cccc(-c3ncccn3)c2-c2ncccn2)nc(I)c1-n1cccn1,0.78160495,0.95563453,0.3468672,0.99999785
N#Cc1nc(F)cc(-c2c(-c3cccnc3)cc(I)nc2-c2ccccc2)c1F,0.756572,0.9749736,0.2879302,0.99992406
N#Cc1nccc(-c2ncc(C(=O)NO)c(-n3cnc4cncnc43)n2)c1-c1ccncc1N,0.79305226,0.94781727,0.39821458,0.98752826
Nc1ccnc(-c2ccn[nH]2)c1-c1cnc(F)nc1N,0.7652885,0.91698945,0.43947893,0.99880457
CNC(=O)c1cccc(-c2cnc(-c3ccncn3)nc2-c2c(-c3cc[nH]c3)ccnc2[SH](=O)=O)n1,0.5847269,0.98162127,0.35187495,0.99290824
CN(C)C#N,0.45949486,0.46619996,0.45980948,1.0
NS(=O)(=O)c1nc(Cl)cc(-n2cccn2)c1-c1cn[nH]c1,0.63102204,0.851349,0.4424222,0.9998777
N#Cc1csc(N)n1,0.4961729,0.4785864,0.45753515,1.0
NC(=O)c1cnc(-c2c(-c3cnc(N)nc3)c(C(N)=O)nc(C(N)=O)c2-n2cnc3cncnc32)nc1,0.88631696,0.8961639,0.40087616,0.8792399
NC(=O)c1nc(N)cc(F)c1-c1[nH]ncc1I,0.85618913,0.8366343,0.43661755,0.99998975
Nc1ncc(-c2ccncn2)c(-c2cscn2)n1,0.773262,0.6846709,0.4371196,0.9999995
CNC(=O)c1c(-c2c(-c3cncnc3)cccc2-c2ccncn2)ccc(-n2cccn2)c1[SH](=O)=O,0.79855335,0.94596505,0.3414424,0.9999999
O=P(O)(O)c1cc[nH]c1,0.46049166,0.47106332,0.4597277,0.99999976
Nc1c(-c2cnccc2-c2cccc([SH](=O)=O)c2-n2cnc3cncnc32)cccc1S(N)(=O)=O,0.9366719,0.66680694,0.383429,0.9999827
Cc1c(-c2ncccn2)c(N)nc(F)c1P(=O)(O)O,0.614821,0.8359752,0.45175338,0.9999962
Nc1nccc(-c2ccc[n+](Br)c2)c1-c1nn(N)cc1-c1cnccc1-n1cnc2cncnc21,0.93883044,0.83767176,0.35043836,0.9970181
CNC(=O)c1cc(F)c(C#N)c(-c2c(F)ccnc2N)n1,0.7127882,0.9184366,0.41796148,0.99834836
C[SH+]N(C)C,0.47557917,0.46428254,0.46059054,0.9999999
